Date,Actual,ARIMA_Forecast
2025-07-01,12308.77734375,12249.374837509122
2025-07-02,12486.849609375,12257.50618804909
2025-07-03,12615.4580078125,12266.69773841458
2025-07-04,12510.5927734375,12274.210873620932
2025-07-07,12385.9423828125,12280.093461753338
2025-07-08,12281.0771484375,12284.667223376306
2025-07-09,12336.4775390625,12288.219188756193
2025-07-10,12514.5498046875,12290.977085823419
2025-07-11,12439.3642578125,12293.118363104291
2025-07-14,12380.0068359375,12294.780877159614
2025-07-15,12401.7705078125,12296.071672327322
2025-07-16,12429.470703125,12297.073860485483
2025-07-17,12342.4130859375,12297.85197083363
2025-07-18,12286.0234375,12298.456104604536
2025-07-21,12272.173828125,12298.925160971334
2025-07-22,12358.2421875,12299.289341697195
2025-07-23,12491.796875,12299.572095776392
2025-07-24,12422.5458984375,12299.791629276177
2025-07-25,12271.1845703125,12299.962077595312
2025-07-28,12207.869140625,12300.094415619005
2025-07-29,12335.48828125,12300.197164373607
2025-07-30,12482.892578125,12300.276939681395
2025-07-31,12473.0,12300.338878142424
2025-08-01,12302.0,12300.386967871702
2025-08-04,12365.0,12300.424305287317
2025-08-05,12537.0,12300.453294483676
2025-08-06,12524.0,12300.475802027158
2025-08-07,12632.0,12300.493277141244
2025-08-08,12590.0,12300.506845019612
2025-08-11,12597.0,12300.517379275498
2025-08-12,12840.0,12300.525558192203
2025-08-13,12834.0,12300.531908396642
2025-08-14,12936.0,12300.53683876797
2025-08-18,14068.0,12300.540666764637
2025-08-19,14250.0,12300.543638865014
2025-08-20,14221.0,12300.545946437727
2025-08-21,14280.0,12300.547738063564
2025-08-22,14349.0,12300.549129102346
2025-08-25,14452.0,12300.550209120762
2025-08-26,14714.0,12300.551047659406
2025-08-28,14752.0,12300.551698710397
2025-08-29,14791.0,12300.55220419383
2025-09-01,14887.0,12300.552596656946
2025-09-02,14842.0,12300.552901369796
2025-09-03,14927.0,12300.553137952336
2025-09-04,14662.0,12300.553321637726
2025-09-05,14895.0,12300.553464253162
2025-09-08,15258.0,12300.553574981417
2025-09-09,15365.0,12300.5536609521
2025-09-10,15108.0,12300.553727700722
2025-09-11,15095.0,12300.553779525115
2025-09-12,15325.0,12300.553819762166
2025-09-15,15265.0,12300.553851002673
2025-09-16,15573.0,12300.55387525816
2025-09-17,15801.0,12300.553894090397
2025-09-18,15817.0,12300.553908711961
2025-09-19,15864.0,12300.55392006431
2025-09-22,15816.0,12300.553928878404
2025-09-23,16097.0,12300.553935721768
2025-09-24,16249.0,12300.553941035034
2025-09-25,16269.0,12300.553945160314
2025-09-26,16286.0,12300.55394836323
2025-09-29,15984.0,12300.55395085001
2025-09-30,16029.0,12300.553952780774
2025-10-01,15965.0,12300.553954279841
2025-10-03,15806.0,12300.553955443735
2025-10-06,15998.0,12300.553956347394
2025-10-07,16108.0,12300.553957049005
2025-10-08,16012.0,12300.553957593746
2025-10-09,15985.0,12300.553958016688
2025-10-10,16265.0,12300.553958345065
2025-10-13,16323.0,12300.55395860002
2025-10-14,16261.0,12300.55395879797
2025-10-15,16212.0,12300.553958951661
2025-10-16,16298.0,12300.553959070989
2025-10-17,16401.0,12300.553959163635
2025-10-20,16424.0,12300.553959235567
2025-10-21,16396.0,12300.553959291416
2025-10-23,16393.0,12300.553959334777
2025-10-24,16274.0,12300.553959368443
2025-10-27,16388.0,12300.553959394581
2025-10-28,16311.0,12300.553959414876
2025-10-29,16138.0,12300.553959430634
2025-10-30,16206.0,12300.553959442868
2025-10-31,16186.0,12300.553959452367
2025-11-03,15651.0,12300.553959459741
2025-11-04,15374.0,12300.553959465467
2025-11-06,15452.0,12300.553959469913
2025-11-07,15479.0,12300.553959473365
2025-11-10,15583.0,12300.553959476045
2025-11-11,15645.0,12300.553959478126
2025-11-12,15696.0,12300.553959479741
2025-11-13,15749.0,12300.553959480996
2025-11-14,15684.0,12300.55395948197
2025-11-17,15878.0,12300.553959482726
2025-11-18,15930.0,12300.553959483314
2025-11-19,15768.0,12300.55395948377
2025-11-20,15801.0,12300.553959484125
2025-11-21,15977.0,12300.5539594844
2025-11-24,15958.0,12300.553959484612
2025-11-25,15889.0,12300.553959484778
2025-11-26,16156.0,12300.553959484907
2025-11-27,15903.0,12300.553959485007
2025-11-28,15900.0,12300.553959485085
2025-12-01,16097.0,12300.553959485145
2025-12-02,16239.0,12300.553959485193
2025-12-03,16082.0,12300.553959485229
2025-12-04,15994.0,12300.553959485256
2025-12-05,16282.0,12300.553959485278
2025-12-08,16187.0,12300.553959485294
2025-12-09,16020.0,12300.553959485307
2025-12-10,16019.0,12300.553959485318
2025-12-11,16248.0,12300.553959485325
2025-12-12,16522.0,12300.55395948533
2025-12-15,16415.0,12300.553959485336
2025-12-16,16354.0,12300.55395948534
2025-12-17,16398.0,12300.553959485344
2025-12-18,16329.0,12300.553959485345
2025-12-19,16414.0,12300.553959485347
2025-12-22,16649.0,12300.553959485349
2025-12-23,16585.0,12300.55395948535
2025-12-24,16703.0,12300.55395948535
2025-12-26,16596.0,12300.55395948535
2025-12-29,16542.0,12300.55395948535
2025-12-30,16647.0,12300.55395948535
