Stock,Model,RMSE,MAE,MAPE,Directional_Accuracy
TCS,ARIMA,338.7024,318.1423,10.5606,0.0
TCS,Holt-Winters,382.029,362.9981,12.0293,41.94
HDFCBANK,ARIMA,19.5034,13.985,1.4386,47.58
HDFCBANK,Holt-Winters,35.1044,30.1271,3.079,48.39
RELIANCE,ARIMA,82.1285,71.1574,5.014,0.81
RELIANCE,Holt-Winters,97.234,78.9827,5.6307,48.39
SUNPHARMA,ARIMA,68.8852,55.6033,3.2852,50.81
SUNPHARMA,Holt-Winters,71.7757,57.8385,3.5395,58.06
MARUTI,ARIMA,3061.3126,2629.0497,16.6084,54.03
MARUTI,Holt-Winters,2769.9366,2378.1421,15.0228,55.65
